Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","22645.0185","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","22645.0185","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","22760.161","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","22760.161","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","23823.4735","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","23823.4735","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","24641.025","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","24641.025","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","24571.6745","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","24571.6745","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2018","2018","3050","FAO TIER 1","kt","130512.3064","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2018","2018","3050","FAO TIER 1","kt","130512.3064","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2019","2019","3050","FAO TIER 1","kt","129051.7872","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2019","2019","3050","FAO TIER 1","kt","129051.7872","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2020","2020","3050","FAO TIER 1","kt","135277.6012","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2020","2020","3050","FAO TIER 1","kt","135277.6012","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2021","2021","3050","FAO TIER 1","kt","136784.97","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2021","2021","3050","FAO TIER 1","kt","136784.97","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2022","2022","3050","FAO TIER 1","kt","137143.552","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2022","2022","3050","FAO TIER 1","kt","137143.552","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2018","2018","3050","FAO TIER 1","kt","3674.5716","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2018","2018","3050","FAO TIER 1","kt","901.636","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2018","2018","3050","FAO TIER 1","kt","4576.2076","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2019","2019","3050","FAO TIER 1","kt","3633.2324","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2019","2019","3050","FAO TIER 1","kt","891.4865","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2019","2019","3050","FAO TIER 1","kt","4524.7189","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2020","2020","3050","FAO TIER 1","kt","3800.8964","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2020","2020","3050","FAO TIER 1","kt","932.6145","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2020","2020","3050","FAO TIER 1","kt","4733.5109","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2021","2021","3050","FAO TIER 1","kt","3851.7136","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2021","2021","3050","FAO TIER 1","kt","945.096","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2021","2021","3050","FAO TIER 1","kt","4796.8096","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2022","2022","3050","FAO TIER 1","kt","3857.518","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2022","2022","3050","FAO TIER 1","kt","946.527","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2022","2022","3050","FAO TIER 1","kt","4804.045","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5058","Enteric Fermentation","2018","2018","3050","FAO TIER 1","kt","392097.7788","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5058","Enteric Fermentation","2018","2018","3050","FAO TIER 1","kt","392097.7788","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5058","Enteric Fermentation","2019","2019","3050","FAO TIER 1","kt","394693.0456","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5058","Enteric Fermentation","2019","2019","3050","FAO TIER 1","kt","394693.0456","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5058","Enteric Fermentation","2020","2020","3050","FAO TIER 1","kt","398700.148","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5058","Enteric Fermentation","2020","2020","3050","FAO TIER 1","kt","398700.148","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5058","Enteric Fermentation","2021","2021","3050","FAO TIER 1","kt","397470.472","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5058","Enteric Fermentation","2021","2021","3050","FAO TIER 1","kt","397470.472","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5058","Enteric Fermentation","2022","2022","3050","FAO TIER 1","kt","399159.3704","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5058","Enteric Fermentation","2022","2022","3050","FAO TIER 1","kt","399159.3704","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5059","Manure Management","2018","2018","3050","FAO TIER 1","kt","33495.7784","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5059","Manure Management","2018","2018","3050","FAO TIER 1","kt","3600.4225","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5059","Manure Management","2018","2018","3050","FAO TIER 1","kt","37096.2009","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5059","Manure Management","2019","2019","3050","FAO TIER 1","kt","33672.4724","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5059","Manure Management","2019","2019","3050","FAO TIER 1","kt","3635.4555","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5059","Manure Management","2019","2019","3050","FAO TIER 1","kt","37307.9279","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5059","Manure Management","2020","2020","3050","FAO TIER 1","kt","33987.1756","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5059","Manure Management","2020","2020","3050","FAO TIER 1","kt","3656.4965","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5059","Manure Management","2020","2020","3050","FAO TIER 1","kt","37643.6721","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5059","Manure Management","2021","2021","3050","FAO TIER 1","kt","33897.6316","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5059","Manure Management","2021","2021","3050","FAO TIER 1","kt","3670.3295","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5059","Manure Management","2021","2021","3050","FAO TIER 1","kt","37567.9611","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5059","Manure Management","2022","2022","3050","FAO TIER 1","kt","34018.138","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5059","Manure Management","2022","2022","3050","FAO TIER 1","kt","3663.1215","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5059","Manure Management","2022","2022","3050","FAO TIER 1","kt","37681.2595","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5063","Manure left on Pasture","2018","2018","3050","FAO TIER 1","kt","58956.723","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5063","Manure left on Pasture","2018","2018","3050","FAO TIER 1","kt","58956.723","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5063","Manure left on Pasture","2019","2019","3050","FAO TIER 1","kt","59648.85","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5063","Manure left on Pasture","2019","2019","3050","FAO TIER 1","kt","59648.85","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5063","Manure left on Pasture","2020","2020","3050","FAO TIER 1","kt","60597.7885","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5063","Manure left on Pasture","2020","2020","3050","FAO TIER 1","kt","60597.7885","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5063","Manure left on Pasture","2021","2021","3050","FAO TIER 1","kt","60115.9655","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5063","Manure left on Pasture","2021","2021","3050","FAO TIER 1","kt","60115.9655","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5063","Manure left on Pasture","2022","2022","3050","FAO TIER 1","kt","60361.1435","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5063","Manure left on Pasture","2022","2022","3050","FAO TIER 1","kt","60361.1435","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5062","Manure applied to Soils","2018","2018","3050","FAO TIER 1","kt","13641.829","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5062","Manure applied to Soils","2018","2018","3050","FAO TIER 1","kt","13641.829","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5062","Manure applied to Soils","2019","2019","3050","FAO TIER 1","kt","13797.066","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5062","Manure applied to Soils","2019","2019","3050","FAO TIER 1","kt","13797.066","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5062","Manure applied to Soils","2020","2020","3050","FAO TIER 1","kt","13960.9155","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5062","Manure applied to Soils","2020","2020","3050","FAO TIER 1","kt","13960.9155","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5062","Manure applied to Soils","2021","2021","3050","FAO TIER 1","kt","13941.6235","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5062","Manure applied to Soils","2021","2021","3050","FAO TIER 1","kt","13941.6235","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5062","Manure applied to Soils","2022","2022","3050","FAO TIER 1","kt","13953.999","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5062","Manure applied to Soils","2022","2022","3050","FAO TIER 1","kt","13953.999","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5061","Synthetic Fertilizers","2018","2018","3050","FAO TIER 1","kt","97266.7395","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5061","Synthetic Fertilizers","2018","2018","3050","FAO TIER 1","kt","97266.7395","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5061","Synthetic Fertilizers","2019","2019","3050","FAO TIER 1","kt","104084.9245","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5061","Synthetic Fertilizers","2019","2019","3050","FAO TIER 1","kt","104084.9245","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5061","Synthetic Fertilizers","2020","2020","3050","FAO TIER 1","kt","112582.706","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5061","Synthetic Fertilizers","2020","2020","3050","FAO TIER 1","kt","112582.706","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5061","Synthetic Fertilizers","2021","2021","3050","FAO TIER 1","kt","107530.163","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5061","Synthetic Fertilizers","2021","2021","3050","FAO TIER 1","kt","107530.163","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5061","Synthetic Fertilizers","2022","2022","3050","FAO TIER 1","kt","111491.86","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5061","Synthetic Fertilizers","2022","2022","3050","FAO TIER 1","kt","111491.86","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6729","Drained organic soils","2018","2018","3050","FAO TIER 1","kt","5152.2038","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6729","Drained organic soils","2019","2019","3050","FAO TIER 1","kt","5110.4798","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6729","Drained organic soils","2020","2020","3050","FAO TIER 1","kt","5106.5255","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6729","Drained organic soils","2021","2021","3050","FAO TIER 1","kt","5105.8446","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6729","Drained organic soils","2022","2022","3050","FAO TIER 1","kt","5103.5278","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2018","2018","3050","FAO TIER 1","kt","4946.1663","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","67292","Drained organic soils (CO2)","2018","2018","3050","FAO TIER 1","kt","4946.1663","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2019","2019","3050","FAO TIER 1","kt","4906.0323","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","67292","Drained organic soils (CO2)","2019","2019","3050","FAO TIER 1","kt","4906.0323","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2020","2020","3050","FAO TIER 1","kt","4902.237","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","67292","Drained organic soils (CO2)","2020","2020","3050","FAO TIER 1","kt","4902.237","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2021","2021","3050","FAO TIER 1","kt","4901.5826","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","67292","Drained organic soils (CO2)","2021","2021","3050","FAO TIER 1","kt","4901.5826","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2022","2022","3050","FAO TIER 1","kt","4899.3718","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","67292","Drained organic soils (CO2)","2022","2022","3050","FAO TIER 1","kt","4899.3718","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","67291","Drained organic soils (N2O)","2018","2018","3050","FAO TIER 1","kt","206.0375","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","67291","Drained organic soils (N2O)","2018","2018","3050","FAO TIER 1","kt","206.0375","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","67291","Drained organic soils (N2O)","2019","2019","3050","FAO TIER 1","kt","204.4475","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","67291","Drained organic soils (N2O)","2019","2019","3050","FAO TIER 1","kt","204.4475","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","67291","Drained organic soils (N2O)","2020","2020","3050","FAO TIER 1","kt","204.2885","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","67291","Drained organic soils (N2O)","2020","2020","3050","FAO TIER 1","kt","204.2885","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","67291","Drained organic soils (N2O)","2021","2021","3050","FAO TIER 1","kt","204.262","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","67291","Drained organic soils (N2O)","2021","2021","3050","FAO TIER 1","kt","204.262","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","67291","Drained organic soils (N2O)","2022","2022","3050","FAO TIER 1","kt","204.156","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","67291","Drained organic soils (N2O)","2022","2022","3050","FAO TIER 1","kt","204.156","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6994","On-farm energy use","2018","2018","3050","FAO TIER 1","kt","157808.611","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","6994","On-farm energy use","2018","2018","3050","FAO TIER 1","kt","68.7456","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","6994","On-farm energy use","2018","2018","3050","FAO TIER 1","kt","941.7305","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6994","On-farm energy use","2018","2018","3050","FAO TIER 1","kt","158819.0871","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kt","167842.13","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kt","74.6256","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kt","981.6925","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kt","168898.4481","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6994","On-farm energy use","2020","2020","3050","FAO TIER 1","kt","158866.2634","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","6994","On-farm energy use","2020","2020","3050","FAO TIER 1","kt","72.9512","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","6994","On-farm energy use","2020","2020","3050","FAO TIER 1","kt","924.6645","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6994","On-farm energy use","2020","2020","3050","FAO TIER 1","kt","159863.8791","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6994","On-farm energy use","2021","2021","3050","FAO TIER 1","kt","158866.2634","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","6994","On-farm energy use","2021","2021","3050","FAO TIER 1","kt","72.9512","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","6994","On-farm energy use","2021","2021","3050","FAO TIER 1","kt","924.6645","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6994","On-farm energy use","2021","2021","3050","FAO TIER 1","kt","159863.8791","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6994","On-farm energy use","2022","2022","3050","FAO TIER 1","kt","158866.2634","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","6994","On-farm energy use","2022","2022","3050","FAO TIER 1","kt","72.9512","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","6994","On-farm energy use","2022","2022","3050","FAO TIER 1","kt","924.6645","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6994","On-farm energy use","2022","2022","3050","FAO TIER 1","kt","159863.8791","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6751","Forestland","2018","2018","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6751","Forestland","2018","2018","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6751","Forestland","2019","2019","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6751","Forestland","2019","2019","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6751","Forestland","2020","2020","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6751","Forestland","2020","2020","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6751","Forestland","2021","2021","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6751","Forestland","2021","2021","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6751","Forestland","2022","2022","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6751","Forestland","2022","2022","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6750","Net Forest conversion","2018","2018","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6750","Net Forest conversion","2018","2018","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6750","Net Forest conversion","2019","2019","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6750","Net Forest conversion","2019","2019","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6750","Net Forest conversion","2020","2020","3050","FAO TIER 1","kt","0","E","Estimated value",""
